,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
ENSG00000182541,2667.9454360956,3.44833461597387,0.103790917747795,33.2238570657319,4.87095437141194e-242,2.0450701928373e-237,LIMK2
ENSG00000172216,1020.1438549152,2.91142940001902,0.119215263725089,24.4216160669894,1.0080843131546e-131,1.32263812149362e-128,CEBPB
ENSG00000169826,420.72974475438,2.82007678564956,0.115689375441448,24.3762815287809,3.05267650857538e-131,3.88383706704658e-128,CSGALNACT2
ENSG00000100906,6229.00641286929,3.11379228732125,0.128861957563929,24.1637822844378,5.34915284721564e-129,6.06984276460402e-126,NFKBIA
ENSG00000026508,4712.58265049203,2.71858793622312,0.113778278577968,23.893734113407,3.55837929389594e-126,3.64386718668832e-123,CD44
ENSG00000176788,1772.67103883757,4.33427512762754,0.191784674213115,22.5996949204149,4.36376001046138e-113,2.44283285385628e-110,BASP1
ENSG00000137076,3341.16165195012,2.17700716943564,0.0963382352049167,22.5975404760636,4.58191257228801e-113,2.53120525457253e-110,TLN1
ENSG00000102265,1205.67921846299,3.4255183534813,0.155740741261353,21.9950048120859,3.21498728399585e-107,1.45141119482329e-104,TIMP1
ENSG00000154451,3820.09979595622,5.60135556657963,0.254879276134178,21.9765045300539,4.83269404386334e-107,2.15851765352768e-104,GBP5
ENSG00000167604,286.528441436147,3.59318467807397,0.166869723015826,21.5328737480627,7.66313598526415e-103,2.95171343432399e-100,NFKBID
ENSG00000182782,914.781205105118,3.54808637700048,0.16731580364169,21.205924962108,8.41990930392527e-100,2.99584654343477e-97,HCAR2
ENSG00000163823,639.183548757514,5.00854095833602,0.239149892325417,20.9431035474638,2.16862451389209e-97,7.05811629579532e-95,CCR1
ENSG00000153395,754.343985140527,3.08127755252382,0.148148788224432,20.7985336191611,4.46244235631178e-96,1.40868904007331e-93,LPCAT1
ENSG00000165168,1198.87530830619,3.85586704174996,0.187590900277343,20.5546592934373,6.99193510206187e-94,2.09683139471477e-91,CYBB
ENSG00000288836,32.622788991943,7.45492571852175,0.368514752588543,20.2296534023575,5.36789259918404e-91,1.47301288089374e-88,NA
ENSG00000152229,581.115954722662,3.48675865990791,0.174720804524828,19.9561733325949,1.32476599055337e-88,3.37092727959897e-86,PSTPIP2
ENSG00000127951,737.039104272591,3.07753913220859,0.154653895056836,19.8995255248992,4.10798780298416e-88,1.02055543141e-85,FGL2
ENSG00000188786,884.494711640435,2.65478651581708,0.133535865141844,19.8807003122129,5.97934281366368e-88,1.476721811951e-85,MTF1
ENSG00000132965,313.406825017484,4.02802743039642,0.204800892610199,19.6680169654487,4.05324804012171e-86,9.40196789859172e-84,ALOX5AP
ENSG00000170542,840.38672489361,4.43936097035016,0.226974390789664,19.5588628078491,3.4672392870886e-85,7.70222441631824e-83,SERPINB9
ENSG00000125538,7141.80238611973,5.65846942635917,0.308438278826942,18.3455485741898,3.58291933714386e-75,5.55088075165996e-73,IL1B
